radius_km,window_days,treatment_col,mediator_col,n_cells,n_event_cells,total_effect,total_pval,direct_effect,direct_pval,indirect_diff,indirect_product,path_a,path_a_pval,path_b,path_b_pval,causal_r2,misspecified_flag
16,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,46080,4.493852433997334e-09,0.014814797700792437,4.764047221083779e-09,0.011851767428435777,-2.701947870864452e-10,-2.7019478712682615e-10,2.9737199387781246e-05,0.0017680461873103013,-9.086087213641471e-06,0.22462711653819567,0.03890959982185571,False
17,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,50066,2.870877966219617e-08,0.07650992664044008,2.7814487226294447e-08,0.09859225053308646,8.942924359017216e-10,8.942924359085914e-10,0.000471595268786252,8.354910955550377e-11,1.896313417669007e-06,0.8722112732713366,0.04077084071562942,False
17,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,50066,1.3911864030817198e-08,0.028661517158006612,1.5216875099482253e-08,0.020625644311132667,-1.3050110686650544e-09,-1.305011068664969e-09,0.00013194845631443058,6.040885962652191e-07,-9.890309482326593e-06,0.236240610232067,0.04054841422300659,False
17,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,50066,8.168454674609107e-09,0.023307660446084177,8.759755496251716e-09,0.018462935555724435,-5.913008216426084e-10,-5.913008216269751e-10,6.105841585115998e-05,7.711640595751569e-05,-9.684182162019548e-06,0.21909869735768583,0.04081869435576957,False
17,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,50066,5.132137901641517e-09,0.011711749189850655,5.39372385061834e-09,0.009915530660391147,-2.6158594897682274e-10,-2.615859490222891e-10,2.985647034637832e-05,0.001687855753234184,-8.76144922649975e-06,0.2556982962426282,0.04104074391526236,False
18,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,54259,3.071128546762919e-08,0.08906782946699666,2.9219136048241917e-08,0.1274817603645491,1.4921494193872763e-09,1.4921494193787274e-09,0.00047181015034904563,8.757545122285751e-11,3.162605590987887e-06,0.8077335505074132,0.04285211996536897,False
18,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,54259,1.4849675818753602e-08,0.03609437536858188,1.5936633929610306e-08,0.030470098003904586,-1.0869581108567041e-09,-1.0869581108584087e-09,0.00013210831823650464,5.882173505827618e-07,-8.227779487075907e-06,0.3743900247708213,0.04281530911846665,False
18,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,54259,8.617625535064732e-09,0.030737154758135345,9.128412427720212e-09,0.02686289673098898,-5.107868926554802e-10,-5.107868926660353e-10,6.116483238586637e-05,7.403347446423155e-05,-8.350989821138872e-06,0.3311091487910537,0.04315627581183101,False
18,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,54259,5.44991320356373e-09,0.015545655084172506,5.669685222847884e-09,0.014255208426092951,-2.1977201928415403e-10,-2.197720193488759e-10,2.9926328101733802e-05,0.0016282258522276392,-7.343768289974181e-06,0.37094657600792713,0.04341258243803492,False
19,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,58137,2.9519120455526073e-08,0.1278522155622801,2.8116580130742948e-08,0.17440643019619861,1.4025403247831253e-09,1.402540324768014e-09,0.0004719384063896929,8.963306496209614e-11,2.9718715531066503e-06,0.8270445049006296,0.04537390546162323,False
19,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,58137,1.4616309233042225e-08,0.0540112465577045,1.577830918376184e-08,0.04582164789364945,-1.161999950719614e-09,-1.1619999507373197e-09,0.00013228521011981445,5.715799524445268e-07,-8.78405038390054e-06,0.36615234599252433,0.04534300226957755,False
19,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,58137,8.566995783401617e-09,0.044456896456379194,9.111869499766392e-09,0.03900768290005412,-5.448737163647745e-10,-5.448737163373492e-10,6.12848701653013e-05,7.10793827240894e-05,-8.890835778352513e-06,0.32052753258353894,0.045700398517292906,False
19,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,58137,5.545362164780139e-09,0.021374959142473483,5.7706931094419555e-09,0.019876101098583145,-2.2533094466181637e-10,-2.2533094471743232e-10,3.000143685969839e-05,0.0015691939533311631,-7.510671764528868e-06,0.3773690893009688,0.04595425635838557,False
20,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,62010,2.9870441256487175e-08,0.13849688515864386,2.7900807171004948e-08,0.19257848262665767,1.969634085482227e-09,1.969634085445393e-09,0.0004720119516604296,9.089690538071945e-11,4.17284790886475e-06,0.7664054978150412,0.04792685571792743,False
20,90,cum_vol_90d_BBL,bhp_vw_avg_90d,371947,62010,1.4376482206130408e-08,0.07011671041401035,1.5494909863990386e-08,0.06016426632197585,-1.118427657859978e-09,-1.1184276578214864e-09,0.00013250399943208404,5.479034443219636e-07,-8.440708677587844e-06,0.40479153446768856,0.04797048710059315,False
20,180,cum_vol_180d_BBL,bhp_vw_avg_180d,371947,62010,8.575241098621474e-09,0.05512546017149425,9.113676367752651e-09,0.048528734529158346,-5.384352691311773e-10,-5.384352691565347e-10,6.14571952082659e-05,6.689865448492006e-05,-8.761142895179115e-06,0.3486638144798192,0.04832827403618101,False
20,365,cum_vol_365d_BBL,bhp_vw_avg_365d,371947,62010,5.734872444716741e-09,0.022883339172118728,5.968478917479531e-09,0.021101293987092016,-2.3360647276279046e-10,-2.336064728322588e-10,3.0111981618288705e-05,0.0014858475221214385,-7.757924263954e-06,0.383146208932152,0.048572562028500355,False
